,Unnamed: 0,view_count,duration,subscriber_count,brightness,contrast,title_length,word_count,emoji_count,special_char_count,is_clickbait,has_question_mark,has_exclamation,pub_year,pub_month,pub_weekday,color_red,color_blue,color_green,color_yellow,color_purple,color_brown,color_grey,color_white,color_pink,person_count,object_count,has_text,person_left,person_middle,person_right,person_small,person_medium,person_large,text_left,text_middle,text_right,text_small,text_medium,text_large,cluster,target
0,0,244420.0,459.0,412000.0,109.29561740451388,50.26718674933144,17,9,0,0,0,False,False,2025,3,4,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,12.406647427301845
1,1,11267.0,1117.0,46500.0,109.63241536458334,78.91819703851648,98,37,3,9,0,False,False,2025,3,4,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,2,1,4,9.329722128996263
2,2,12158.0,1306.0,15700.0,93.68651692708332,89.27862433706763,22,12,0,1,0,False,False,2025,2,0,0,0,0,0,0,0,1,1,0,5,0,0,3,5,1,3,5,5,0,0,0,0,0,0,6,9.405824915296419
3,3,14333.0,1772.0,71700.0,139.08145073784723,66.67499367673707,99,50,1,4,0,False,False,2025,3,5,0,0,0,0,0,1,1,0,0,1,6,1,0,1,0,0,1,1,0,3,1,2,3,3,0,9.570389616553864
4,4,58409.0,1097.0,296000.0,137.7065212673611,74.69319872209022,55,32,3,5,1,True,False,2025,3,4,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,3,3,2,0,5,4,4,10.975242387034355
5,5,27696.0,1559.0,539000.0,153.26464409722223,47.47691366467846,81,32,2,4,1,False,False,2025,3,4,0,0,0,0,0,1,1,1,0,1,15,0,0,1,0,0,1,1,0,0,0,0,0,0,3,10.229079383061112
6,6,30038.0,638.0,176000.0,146.53725477430555,70.019600173971,43,13,3,1,0,False,False,2025,3,4,0,0,0,0,0,1,1,1,0,2,1,1,1,2,0,0,2,2,1,2,0,2,2,2,2,10.310251816375912
7,7,651825.0,1742.0,900000.0,125.65375651041668,54.83387504476669,18,8,1,2,0,False,False,2025,3,3,0,0,0,0,0,1,1,0,0,3,0,0,0,3,1,0,3,3,0,0,0,0,0,0,4,13.3875329341267
8,8,104016.0,1339.0,172000.0,180.2653786892361,76.17657240172504,68,28,1,7,0,False,False,2025,3,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,100,1,1,0,1,1,0,2,1,8,11.55230962630359
9,9,73121.0,1680.0,244000.0,142.58595811631943,72.14273122123862,96,41,1,10,0,False,False,2025,3,5,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,8,11.199884558051558
