video_id,title,title_length,word_count,emoji_count,has_emoji,special_char_count,is_clickbait,has_question_mark,has_exclamation,top_noun_1,top_noun_2,top_noun_3
t-zwVkTOZA8,결국 긴팔문신 제거 하는 조두팔,17,9,0,0,0,0,False,False,문신,제거,
AMwSEsFVRGg,"[vlog] 고등학교 교사 직장인 브이로그 | 학부모 총회 그리고 상담 가득한 한 주 | 더바넷 최애 블라우스,,🤍| 서촌 인생 팬케이크🥞| 워킹타코 만들고 등산했던 주말⛰️|",98,37,3,1,9,0,False,False,고등학교,교사,직장인
PocqBywf0FU,오사카&교토 브이로그 • 쇼핑에미띤여자들,22,12,0,0,1,0,False,False,오사카,교토,쇼핑
6eNhJ4LYr1k,마라로제엽떡+닭꼬치 꿀조합•노티드 딸기전메뉴🍓먹고 결국 컵라면2개로 마무리•옛날통닭 두마리+오징어순대+한치통찜에 음주파티•대실패한 스타벅스 샌드위치+말차슈크림라떼•일상먹방브이로그,99,50,1,1,4,0,False,False,엽떡,닭꼬치,조합
G9tXGudpOCo,[썰레디윗미] 이젠 말할 수 있다🙄 역대급 똥차 썰 낋여오니라.ㅣ이게 실화라고? 구라 마실게요~🙏🏻,55,32,3,1,5,1,True,False,레디,역대,똥차
WIYvQjSBFL8,저 드디어 강남에 샵 오픈했어요😭취향 가득 담은 제 샵을 소개합니다🤍 | 인테리어 브이로그 | 반셀프 인테리어 | 뷰티샵 인테리어 | 재유JEYU,81,32,2,1,4,1,False,False,인테리어,강남,오픈
NZtGFBORuYo,광기 다이어터의 72시간 밀착 브이로그 | 정신 차리고 다이어트 시작🏃‍♀️🚨,43,13,3,1,1,0,False,False,광기,다이어터,밀착
GvJTH1g2-sc,[VLOG] 분리수면 하는 이유❓,18,8,1,1,2,0,False,False,분리,수면,이유
DePBBfhQfGE,"퇴사 VLOG | 부장 말에 결국 눈물터짐…🥲 | 마지막 기자 일상, 퇴사 꿀팁, 새벽근무, 현장 스탠딩, 사직서 | 새니",68,28,1,1,7,0,False,False,퇴사,부장,눈물
vtQ0KhiEP9U,[VLOG] 일상 브이로그 | 3월 나의 생일을 맞이하며..🌷 | 이재모피자 제주점 | 여름을 준비하며 다이어트 시작 | 샐러드 레시피 | 제주 요가원추천 | 런린이의 하루,96,41,1,1,10,0,False,False,일상,생일,맞이
q1pQcnMFoCg,쉽지 않은 결정을 했습니다.,15,6,0,0,1,0,False,False,결정,,
diDuJIsaANM,둘째 임신했습니다!!!🎉 (연년생 확정😭),23,10,2,1,5,0,False,True,둘째,임신,연년생
R1lsDPMc45M,[Study Vlog] 고1 시험공부 브이로그/ 08년생 공부 브이로그 | 류희진,45,18,0,0,4,0,False,False,공부,시험,류희진
HeVYeUFIG8M,"vlog | 집순이의 주말 삼시세끼 집밥 🛋️ 💭  두툼한 함박스테이크가 올라간 투움바 파스타, 봄 향기 가득 달래장과 콩나물 버섯 솥밥 만들며 보낸 48시간 일상",91,33,2,1,2,0,False,False,이의,주말,시세
qo_s7wP0WbQ,한국 와서 오지게 먹는 브이로그,17,7,0,0,0,0,False,False,한국,오지,
IbxI43fHWnk,🇨🇭찰승헌스위스🇨🇭여행 브이로그!!!,20,8,0,0,3,0,False,True,찰승헌,스위스,여행
aMaxjhkR8SE,[국제커플] 담백이 사랑이 달랏 브이로그 part2,28,14,0,0,2,0,False,False,국제,커플,사랑
OIzpJVi8rzw,폭식 속았수다 | 고구마피자 베이컨포테이토 콘치즈 콤비네이션 비리야타코 명랑핫도그 고구마통모짜 공차 딸기말차 푸팟퐁구리 라면 돈까스 라구파스타 버팔로윙 | 먹방 브이로그 #138,99,38,0,0,3,0,False,False,고구마,수다,피자
